ind ancestry ancestry_all
TGG_1 NA amr
TGG_10 nfe nfe
TGG_100 NA nfe
TGG_1000 afr afr
TGG_1001 NA afr
TGG_1002 NA sas
TGG_1003 NA sas
TGG_1004 NA sas
TGG_1005 afr afr
TGG_1006 NA afr
TGG_1007 afr afr
TGG_1008 afr afr
TGG_1009 afr afr
TGG_101 fin fin
TGG_1010 afr afr
TGG_1011 afr afr
TGG_1012 afr afr
TGG_1013 afr afr
TGG_1014 afr afr
TGG_1015 afr afr
TGG_1016 NA afr
TGG_1017 afr afr
TGG_1018 NA afr
TGG_1019 NA afr
TGG_102 NA fin
TGG_1020 afr afr
TGG_1021 NA afr
TGG_1022 NA afr
TGG_1023 afr afr
TGG_1024 NA afr
TGG_1025 afr afr
TGG_1026 afr afr
TGG_1027 afr afr
TGG_1028 afr afr
TGG_1029 afr afr
TGG_103 fin fin
TGG_1030 NA afr
TGG_1031 afr afr
TGG_1032 afr afr
TGG_1033 afr afr
TGG_1034 afr afr
TGG_1035 afr afr
TGG_1036 NA afr
TGG_1037 afr afr
TGG_1038 afr afr
TGG_1039 NA afr
TGG_104 fin fin
TGG_1040 NA afr
TGG_1041 afr afr
TGG_1042 NA afr
TGG_1043 afr afr
TGG_1044 afr afr
TGG_1045 NA afr
TGG_1046 afr afr
TGG_1047 afr afr
TGG_1048 afr afr
TGG_1049 NA afr
TGG_105 fin fin
TGG_1050 NA afr
TGG_1051 afr afr
TGG_1052 afr afr
TGG_1053 afr afr
TGG_1054 afr afr
TGG_1055 NA afr
TGG_1056 afr afr
TGG_1057 NA afr
TGG_1058 afr afr
TGG_1059 afr afr
TGG_106 fin fin
TGG_1060 NA afr
TGG_1061 NA afr
TGG_1062 afr afr
TGG_1063 afr afr
TGG_1064 afr afr
TGG_1065 afr afr
TGG_1066 NA afr
TGG_1067 afr afr
TGG_1068 afr afr
TGG_1069 afr afr
TGG_107 NA fin
TGG_1070 sas sas
TGG_1071 sas sas
TGG_1072 NA sas
TGG_1073 sas sas
TGG_1074 NA afr
TGG_1075 afr afr
TGG_1076 NA afr
TGG_1077 NA afr
TGG_1078 afr afr
TGG_1079 afr afr
TGG_108 fin fin
TGG_1080 NA afr
TGG_1081 afr afr
TGG_1082 afr afr
TGG_1083 NA afr
TGG_1084 afr afr
TGG_1085 afr afr
TGG_1086 afr afr
TGG_1087 NA afr
TGG_1088 afr afr
TGG_1089 afr afr
TGG_109 fin fin
TGG_1090 afr afr
TGG_1091 afr afr
TGG_1092 afr afr
TGG_1093 afr afr
TGG_1094 NA sas
TGG_1095 sas sas
TGG_1096 NA sas
TGG_1097 sas sas
TGG_1098 sas sas
TGG_1099 sas sas
TGG_11 NA nfe
TGG_110 fin fin
TGG_1100 sas sas
TGG_1101 sas sas
TGG_1102 sas sas
TGG_1103 sas sas
TGG_1104 sas sas
TGG_1105 sas sas
TGG_1106 sas sas
TGG_1107 sas sas
TGG_1108 NA sas
TGG_1109 sas sas
TGG_111 fin fin
TGG_1110 NA sas
TGG_1111 sas sas
TGG_1112 sas sas
TGG_1113 sas sas
TGG_1114 NA sas
TGG_1115 NA sas
TGG_1116 sas sas
TGG_1117 sas sas
TGG_1118 sas sas
TGG_1119 NA sas
TGG_112 NA fin
TGG_1120 sas sas
TGG_1121 NA sas
TGG_1122 NA sas
TGG_1123 NA sas
TGG_1124 sas sas
TGG_1125 sas sas
TGG_1126 sas sas
TGG_1127 sas sas
TGG_1128 sas sas
TGG_1129 sas sas
TGG_113 NA nfe
TGG_1130 sas sas
TGG_1131 NA sas
TGG_1132 NA sas
TGG_1133 sas sas
TGG_1134 sas sas
TGG_1135 NA sas
TGG_1136 NA sas
TGG_1137 sas sas
TGG_1138 NA sas
TGG_1139 sas sas
TGG_114 fin fin
TGG_1140 sas sas
TGG_1141 sas sas
TGG_1142 NA sas
TGG_1143 NA sas
TGG_1144 sas sas
TGG_1145 NA sas
TGG_1146 sas sas
TGG_1147 sas sas
TGG_1148 NA sas
TGG_1149 sas sas
TGG_115 fin fin
TGG_1150 sas sas
TGG_1151 sas sas
TGG_1152 sas sas
TGG_1153 sas sas
TGG_1154 sas sas
TGG_1155 sas sas
TGG_1156 NA sas
TGG_1157 sas sas
TGG_1158 NA sas
TGG_1159 NA sas
TGG_116 fin fin
TGG_1160 sas sas
TGG_1161 NA sas
TGG_1162 NA sas
TGG_1163 sas sas
TGG_1164 NA sas
TGG_1165 NA sas
TGG_1166 sas sas
TGG_1167 sas sas
TGG_1168 sas sas
TGG_1169 sas sas
TGG_117 fin fin
TGG_1170 sas sas
TGG_1171 sas sas
TGG_1172 sas sas
TGG_1173 NA sas
TGG_1174 NA sas
TGG_1175 sas sas
TGG_1176 sas sas
TGG_1177 sas sas
TGG_1178 sas sas
TGG_1179 NA sas
TGG_118 fin fin
TGG_1180 sas sas
TGG_1181 sas sas
TGG_1182 sas sas
TGG_1183 sas sas
TGG_1184 sas sas
TGG_1185 NA sas
TGG_1186 NA sas
TGG_1187 sas sas
TGG_1188 sas sas
TGG_1189 sas sas
TGG_119 fin fin
TGG_1190 sas sas
TGG_1191 sas sas
TGG_1192 sas sas
TGG_1193 sas sas
TGG_1194 NA sas
TGG_1195 sas sas
TGG_1196 sas sas
TGG_1197 NA sas
TGG_1198 sas sas
TGG_1199 sas sas
TGG_12 nfe nfe
TGG_120 fin fin
TGG_1200 NA sas
TGG_1201 NA sas
TGG_1202 sas sas
TGG_1203 NA sas
TGG_1204 NA sas
TGG_1205 NA sas
TGG_1206 sas sas
TGG_1207 sas sas
TGG_1208 NA sas
TGG_1209 NA sas
TGG_121 NA fin
TGG_1210 sas sas
TGG_1211 NA sas
TGG_1212 sas sas
TGG_1213 NA sas
TGG_1214 NA sas
TGG_1215 NA sas
TGG_1216 sas sas
TGG_1217 sas sas
TGG_1218 sas sas
TGG_1219 NA sas
TGG_122 NA fin
TGG_1220 NA sas
TGG_1221 NA sas
TGG_1222 NA sas
TGG_1223 NA sas
TGG_1224 sas sas
TGG_1225 sas sas
TGG_1226 sas sas
TGG_1227 sas sas
TGG_1228 NA sas
TGG_1229 sas sas
TGG_123 fin fin
TGG_1230 NA sas
TGG_1231 sas sas
TGG_1232 NA sas
TGG_1233 NA sas
TGG_1234 sas sas
TGG_1235 sas sas
TGG_1236 sas sas
TGG_1237 sas sas
TGG_1238 sas sas
TGG_1239 sas sas
TGG_124 fin fin
TGG_1240 NA sas
TGG_1241 sas sas
TGG_1242 NA sas
TGG_1243 sas sas
TGG_1244 sas sas
TGG_1245 sas sas
TGG_1246 sas sas
TGG_1247 sas sas
TGG_1248 NA sas
TGG_1249 sas sas
TGG_125 fin fin
TGG_1250 NA sas
TGG_1251 sas sas
TGG_1252 NA sas
TGG_1253 sas sas
TGG_1254 sas sas
TGG_1255 sas sas
TGG_1256 NA sas
TGG_1257 sas sas
TGG_1258 NA sas
TGG_1259 NA sas
TGG_126 NA fin
TGG_1260 sas sas
TGG_1261 sas sas
TGG_1262 sas sas
TGG_1263 sas sas
TGG_1264 sas sas
TGG_1265 NA sas
TGG_1266 NA sas
TGG_1267 sas sas
TGG_1268 NA sas
TGG_1269 NA sas
TGG_127 fin fin
TGG_1270 sas sas
TGG_1271 sas sas
TGG_1272 sas sas
TGG_1273 sas sas
TGG_1274 sas sas
TGG_1275 sas sas
TGG_1276 NA sas
TGG_1277 sas sas
TGG_1278 sas sas
TGG_1279 NA sas
TGG_128 NA nfe
TGG_1280 NA sas
TGG_1281 sas sas
TGG_1282 sas sas
TGG_1283 sas sas
TGG_1284 sas sas
TGG_1285 NA sas
TGG_1286 NA sas
TGG_1287 sas sas
TGG_1288 sas sas
TGG_1289 sas sas
TGG_129 NA fin
TGG_1290 NA sas
TGG_1291 sas sas
TGG_1292 sas sas
TGG_1293 sas sas
TGG_1294 sas sas
TGG_1295 sas sas
TGG_1296 sas sas
TGG_1297 sas sas
TGG_1298 sas sas
TGG_1299 sas sas
TGG_13 nfe nfe
TGG_130 fin fin
TGG_1300 sas sas
TGG_1301 NA sas
TGG_1302 sas sas
TGG_1303 sas sas
TGG_1304 NA sas
TGG_1305 NA sas
TGG_1306 sas sas
TGG_1307 NA sas
TGG_1308 NA sas
TGG_1309 sas sas
TGG_131 fin fin
TGG_1310 NA sas
TGG_1311 NA sas
TGG_1312 sas sas
TGG_1313 NA sas
TGG_1314 sas sas
TGG_1315 sas sas
TGG_1316 NA sas
TGG_1317 sas sas
TGG_1318 NA sas
TGG_1319 sas sas
TGG_132 fin fin
TGG_1320 sas sas
TGG_1321 NA sas
TGG_1322 sas sas
TGG_1323 sas sas
TGG_1324 sas sas
TGG_1325 NA sas
TGG_1326 sas sas
TGG_1327 sas sas
TGG_1328 NA sas
TGG_1329 sas sas
TGG_133 fin fin
TGG_1330 sas sas
TGG_1331 sas sas
TGG_1332 sas sas
TGG_1333 sas sas
TGG_1334 sas sas
TGG_1335 sas sas
TGG_1336 sas sas
TGG_1337 NA sas
TGG_1338 NA sas
TGG_1339 sas sas
TGG_134 fin fin
TGG_1340 sas sas
TGG_1341 sas sas
TGG_1342 sas sas
TGG_1343 NA sas
TGG_1344 sas sas
TGG_1345 sas sas
TGG_1346 sas sas
TGG_1347 sas sas
TGG_1348 NA sas
TGG_1349 sas sas
TGG_135 NA fin
TGG_1350 NA sas
TGG_1351 sas sas
TGG_1352 sas sas
TGG_1353 sas sas
TGG_1354 sas sas
TGG_1355 sas sas
TGG_1356 nfe nfe
TGG_1357 nfe nfe
TGG_1358 nfe nfe
TGG_1359 nfe nfe
TGG_136 fin fin
TGG_1360 NA nfe
TGG_1361 NA nfe
TGG_1362 nfe nfe
TGG_1363 nfe nfe
TGG_1364 nfe nfe
TGG_1365 nfe nfe
TGG_1366 nfe nfe
TGG_1367 nfe nfe
TGG_1368 NA nfe
TGG_1369 nfe nfe
TGG_137 fin fin
TGG_1370 nfe nfe
TGG_1371 nfe nfe
TGG_1372 NA nfe
TGG_1373 nfe nfe
TGG_1374 NA nfe
TGG_1375 NA nfe
TGG_1376 NA nfe
TGG_1377 nfe nfe
TGG_1378 nfe nfe
TGG_1379 NA nfe
TGG_138 fin fin
TGG_1380 nfe nfe
TGG_1381 nfe nfe
TGG_1382 nfe nfe
TGG_1383 nfe nfe
TGG_1384 nfe nfe
TGG_1385 nfe nfe
TGG_1386 nfe nfe
TGG_1387 NA nfe
TGG_1388 NA nfe
TGG_1389 nfe nfe
TGG_139 fin fin
TGG_1390 NA nfe
TGG_1391 nfe nfe
TGG_1392 nfe nfe
TGG_1393 NA nfe
TGG_1394 NA nfe
TGG_1395 nfe nfe
TGG_1396 nfe nfe
TGG_1397 NA nfe
TGG_1398 nfe nfe
TGG_1399 nfe nfe
TGG_14 nfe nfe
TGG_140 NA fin
TGG_1400 NA nfe
TGG_1401 nfe nfe
TGG_1402 NA nfe
TGG_1403 NA nfe
TGG_1404 nfe nfe
TGG_1405 nfe nfe
TGG_1406 nfe nfe
TGG_1407 nfe nfe
TGG_1408 nfe nfe
TGG_1409 nfe nfe
TGG_141 fin fin
TGG_1410 NA nfe
TGG_1411 NA nfe
TGG_1412 NA nfe
TGG_1413 nfe nfe
TGG_1414 nfe nfe
TGG_1415 nfe nfe
TGG_1416 nfe nfe
TGG_1417 NA nfe
TGG_1418 NA nfe
TGG_1419 NA nfe
TGG_142 fin fin
TGG_1420 nfe nfe
TGG_1421 NA nfe
TGG_1422 NA nfe
TGG_1423 nfe nfe
TGG_1424 nfe nfe
TGG_1425 nfe nfe
TGG_1426 nfe nfe
TGG_1427 nfe nfe
TGG_1428 NA nfe
TGG_1429 nfe nfe
TGG_143 fin fin
TGG_1430 NA nfe
TGG_1431 NA nfe
TGG_1432 NA nfe
TGG_1433 NA nfe
TGG_1434 nfe nfe
TGG_1435 nfe nfe
TGG_1436 NA nfe
TGG_1437 NA nfe
TGG_1438 nfe nfe
TGG_1439 afr afr
TGG_144 fin fin
TGG_1440 afr afr
TGG_1441 afr afr
TGG_1442 afr afr
TGG_1443 afr afr
TGG_1444 afr afr
TGG_1445 afr afr
TGG_1446 NA afr
TGG_1447 NA afr
TGG_1448 NA afr
TGG_1449 afr afr
TGG_145 fin fin
TGG_1450 NA eas
TGG_1451 eas eas
TGG_1452 eas eas
TGG_1453 eas eas
TGG_1454 NA eas
TGG_1455 eas eas
TGG_1456 NA eas
TGG_1457 eas eas
TGG_1458 eas eas
TGG_1459 NA eas
TGG_146 fin fin
TGG_1460 eas eas
TGG_1461 NA eas
TGG_1462 eas eas
TGG_1463 eas eas
TGG_1464 eas eas
TGG_1465 eas eas
TGG_1466 eas eas
TGG_1467 eas eas
TGG_1468 eas eas
TGG_1469 eas eas
TGG_147 fin fin
TGG_1470 eas eas
TGG_1471 eas eas
TGG_1472 eas eas
TGG_1473 NA eas
TGG_1474 eas eas
TGG_1475 NA eas
TGG_1476 eas eas
TGG_1477 eas eas
TGG_1478 eas eas
TGG_1479 eas eas
TGG_148 NA nfe
TGG_1480 eas eas
TGG_1481 eas eas
TGG_1482 NA eas
TGG_1483 eas eas
TGG_1484 eas eas
TGG_1485 NA eas
TGG_1486 eas eas
TGG_1487 eas eas
TGG_1488 NA eas
TGG_1489 eas eas
TGG_149 fin fin
TGG_1490 NA eas
TGG_1491 eas eas
TGG_1492 eas eas
TGG_1493 NA eas
TGG_1494 NA eas
TGG_1495 eas eas
TGG_1496 eas eas
TGG_1497 eas eas
TGG_1498 NA eas
TGG_1499 eas eas
TGG_15 NA nfe
TGG_150 fin fin
TGG_1500 eas eas
TGG_1501 NA eas
TGG_1502 NA eas
TGG_1503 eas eas
TGG_1504 NA eas
TGG_1505 NA eas
TGG_1506 eas eas
TGG_1507 eas eas
TGG_1508 NA eas
TGG_1509 NA eas
TGG_151 fin fin
TGG_1510 eas eas
TGG_1511 eas eas
TGG_1512 eas eas
TGG_1513 eas eas
TGG_1514 eas eas
TGG_1515 eas eas
TGG_1516 eas eas
TGG_1517 NA eas
TGG_1518 NA eas
TGG_1519 eas eas
TGG_152 fin fin
TGG_1520 eas eas
TGG_1521 NA eas
TGG_1522 eas eas
TGG_1523 eas eas
TGG_1524 eas eas
TGG_1525 NA eas
TGG_1526 NA eas
TGG_1527 eas eas
TGG_1528 eas eas
TGG_1529 eas eas
TGG_153 NA nfe
TGG_1530 eas eas
TGG_1531 eas eas
TGG_1532 NA eas
TGG_1533 NA eas
TGG_1534 eas eas
TGG_1535 eas eas
TGG_1536 NA afr
TGG_1537 NA afr
TGG_1538 NA afr
TGG_1539 afr afr
TGG_154 NA nfe
TGG_1540 afr afr
TGG_1541 afr afr
TGG_1542 afr afr
TGG_1543 afr afr
TGG_1544 NA afr
TGG_1545 afr afr
TGG_1546 afr afr
TGG_1547 afr afr
TGG_1548 NA afr
TGG_1549 afr afr
TGG_155 NA fin
TGG_1550 afr afr
TGG_1551 NA eas
TGG_1552 NA eas
TGG_1553 NA eas
TGG_1554 NA eas
TGG_1555 NA eas
TGG_1556 eas eas
TGG_1557 eas eas
TGG_1558 eas eas
TGG_1559 eas eas
TGG_156 NA nfe
TGG_1560 eas eas
TGG_1561 eas eas
TGG_1562 NA eas
TGG_1563 NA eas
TGG_1564 NA eas
TGG_1565 NA eas
TGG_1566 eas eas
TGG_1567 eas eas
TGG_1568 NA eas
TGG_1569 eas eas
TGG_157 NA nfe
TGG_1570 NA eas
TGG_1571 eas eas
TGG_1572 eas eas
TGG_1573 eas eas
TGG_1574 NA eas
TGG_1575 eas eas
TGG_1576 NA eas
TGG_1577 eas eas
TGG_1578 eas eas
TGG_1579 eas eas
TGG_158 NA nfe
TGG_1580 NA eas
TGG_1581 eas eas
TGG_1582 NA eas
TGG_1583 NA eas
TGG_1584 NA eas
TGG_1585 eas eas
TGG_1586 eas eas
TGG_1587 NA eas
TGG_1588 eas eas
TGG_1589 NA eas
TGG_159 NA fin
TGG_1590 NA eas
TGG_1591 NA eas
TGG_1592 eas eas
TGG_1593 NA eas
TGG_1594 eas eas
TGG_1595 afr afr
TGG_1596 NA afr
TGG_1597 afr afr
TGG_1598 NA afr
TGG_1599 afr afr
TGG_16 nfe nfe
TGG_160 fin fin
TGG_1600 NA afr
TGG_1601 afr afr
TGG_1602 NA afr
TGG_1603 afr afr
TGG_1604 afr afr
TGG_1605 afr afr
TGG_1606 afr afr
TGG_1607 afr afr
TGG_1608 eas eas
TGG_1609 eas eas
TGG_161 NA fin
TGG_1610 NA eas
TGG_1611 NA eas
TGG_1612 NA eas
TGG_1613 eas eas
TGG_1614 eas eas
TGG_1615 eas eas
TGG_1616 eas eas
TGG_1617 eas eas
TGG_1618 NA eas
TGG_1619 eas eas
TGG_162 fin fin
TGG_1620 NA eas
TGG_1621 eas eas
TGG_1622 eas eas
TGG_1623 eas eas
TGG_1624 NA eas
TGG_1625 eas eas
TGG_1626 eas eas
TGG_1627 NA eas
TGG_1628 NA eas
TGG_1629 afr afr
TGG_163 NA fin
TGG_1630 NA afr
TGG_1631 NA afr
TGG_1632 NA afr
TGG_1633 NA afr
TGG_1634 afr afr
TGG_1635 afr afr
TGG_1636 NA afr
TGG_1637 NA afr
TGG_1638 NA afr
TGG_1639 afr afr
TGG_164 fin fin
TGG_1640 afr afr
TGG_1641 afr afr
TGG_1642 NA afr
TGG_1643 afr afr
TGG_1644 afr afr
TGG_1645 afr afr
TGG_1646 NA afr
TGG_1647 NA afr
TGG_1648 NA afr
TGG_1649 afr afr
TGG_165 fin fin
TGG_1650 NA afr
TGG_1651 afr afr
TGG_1652 afr afr
TGG_1653 afr afr
TGG_1654 NA afr
TGG_1655 afr afr
TGG_1656 afr afr
TGG_1657 NA afr
TGG_1658 NA afr
TGG_1659 NA afr
TGG_166 NA fin
TGG_1660 afr afr
TGG_1661 afr afr
TGG_1662 afr afr
TGG_1663 afr afr
TGG_1664 NA afr
TGG_1665 afr afr
TGG_1666 afr afr
TGG_1667 afr afr
TGG_1668 NA afr
TGG_1669 afr afr
TGG_167 fin fin
TGG_1670 afr afr
TGG_1671 afr afr
TGG_1672 afr afr
TGG_1673 NA afr
TGG_1674 afr afr
TGG_1675 afr afr
TGG_1676 afr afr
TGG_1677 afr afr
TGG_1678 afr afr
TGG_1679 NA afr
TGG_168 fin fin
TGG_1680 afr afr
TGG_1681 NA afr
TGG_1682 afr afr
TGG_1683 afr afr
TGG_1684 afr afr
TGG_1685 afr afr
TGG_1686 afr afr
TGG_1687 NA afr
TGG_1688 NA afr
TGG_1689 afr afr
TGG_169 NA fin
TGG_1690 NA afr
TGG_1691 afr afr
TGG_1692 NA afr
TGG_1693 afr afr
TGG_1694 afr afr
TGG_1695 afr afr
TGG_1696 afr afr
TGG_1697 afr afr
TGG_1698 afr afr
TGG_1699 NA afr
TGG_17 nfe nfe
TGG_170 fin fin
TGG_1700 afr afr
TGG_1701 afr afr
TGG_1702 afr afr
TGG_1703 afr afr
TGG_1704 afr afr
TGG_1705 afr afr
TGG_1706 NA afr
TGG_1707 afr afr
TGG_1708 afr afr
TGG_1709 afr afr
TGG_171 NA fin
TGG_1710 afr afr
TGG_1711 NA afr
TGG_1712 afr afr
TGG_1713 afr afr
TGG_1714 afr afr
TGG_1715 afr afr
TGG_1716 NA afr
TGG_1717 NA afr
TGG_1718 afr afr
TGG_1719 NA afr
TGG_172 eas eas
TGG_1720 NA afr
TGG_1721 afr afr
TGG_1722 afr afr
TGG_1723 afr afr
TGG_1724 afr afr
TGG_1725 afr afr
TGG_1726 afr afr
TGG_1727 afr afr
TGG_1728 afr afr
TGG_1729 amr amr
TGG_173 eas eas
TGG_1730 amr amr
TGG_1731 NA amr
TGG_1732 amr amr
TGG_1733 amr amr
TGG_1734 NA amr
TGG_1735 amr amr
TGG_1736 NA amr
TGG_1737 amr amr
TGG_1738 amr amr
TGG_1739 amr amr
TGG_174 eas eas
TGG_1740 amr amr
TGG_1741 amr amr
TGG_1742 amr amr
TGG_1743 amr amr
TGG_1744 amr amr
TGG_1745 NA amr
TGG_1746 amr amr
TGG_1747 afr afr
TGG_1748 afr afr
TGG_1749 afr afr
TGG_175 eas eas
TGG_1750 afr afr
TGG_1751 NA afr
TGG_1752 NA afr
TGG_1753 NA afr
TGG_1754 afr afr
TGG_1755 amr amr
TGG_1756 NA amr
TGG_1757 NA amr
TGG_1758 amr amr
TGG_1759 NA amr
TGG_176 eas eas
TGG_1760 amr amr
TGG_1761 NA amr
TGG_1762 NA amr
TGG_1763 amr amr
TGG_1764 NA amr
TGG_1765 NA amr
TGG_1766 NA sas
TGG_1767 amr amr
TGG_1768 NA sas
TGG_1769 amr amr
TGG_177 NA eas
TGG_1770 amr amr
TGG_1771 NA amr
TGG_1772 NA amr
TGG_1773 amr amr
TGG_1774 amr amr
TGG_1775 amr amr
TGG_1776 amr amr
TGG_1777 amr amr
TGG_1778 amr amr
TGG_1779 NA amr
TGG_178 NA eas
TGG_1780 amr amr
TGG_1781 amr amr
TGG_1782 NA amr
TGG_1783 amr amr
TGG_1784 amr amr
TGG_1785 amr amr
TGG_1786 NA amr
TGG_1787 NA sas
TGG_1788 afr afr
TGG_1789 afr afr
TGG_179 NA eas
TGG_1790 afr afr
TGG_1791 NA afr
TGG_1792 afr afr
TGG_1793 afr afr
TGG_1794 afr afr
TGG_1795 afr afr
TGG_1796 afr afr
TGG_1797 afr afr
TGG_1798 afr afr
TGG_1799 NA afr
TGG_18 NA nfe
TGG_180 eas eas
TGG_1800 NA afr
TGG_1801 NA afr
TGG_1802 afr afr
TGG_1803 afr afr
TGG_1804 NA afr
TGG_1805 afr afr
TGG_1806 NA afr
TGG_1807 afr afr
TGG_1808 afr afr
TGG_1809 afr afr
TGG_181 NA eas
TGG_1810 NA afr
TGG_1811 afr afr
